1942,Boston Bruins,Created,
1942,Chicago Blackhawks,Created,
1942,Detroit Red Wings,Created,
1942,Montreal Canadiens,Created,
1942,New York Rangers,Created,
1942,Toronto Maple Leafs,Created,
1967,California Seals,Created,
1967,Los Angeles Kings,Created,
1967,Minnesota North Stars,Created,
1967,Philadelphia Flyers,Created,
1967,Pittsburgh Penguins,Created,
1967,St Louis Blues ,Created,
1970,Buffalo Sabres,Created,
1970,Vancouver Canucks,Created,
1972,New York Islanders,Created,
1972,Atlanta Flames,Created,
1974,Washington Capitals,Created,
1974,Kansas City Scouts,Created,
1976,Colorado Rockies,Renamed,Kansas City Scouts
1976,Cleveland Barons,Renamed,California Golden Seals
1979,Edmonton Oilers,Acquired,
1979,Hartford Whalers,Acquired,
1979,Quebec Nordiques,Acquired,
1979,Winnipeg Jets,Acquired,
1980,Calgary Flames,Renamed,Atlanta Flames
1982,New Jersey Devils,Renamed,Colorado Rockies
1990,Dallas Stars,Renamed,Minnesota North Stars
1991,San Jose Sharks,Created,
1992,Ottawa Senators,Created,
1992,Tampa Bay Lightning,Created,
1993,Florida Panthers,Created,
1993,Anaheim Mighty Ducks,Created,
1995,Colorado Avalanche,Renamed,Quebec Nordiques
1997,Carolina Hurricanes,Renamed,Hartford Whalers
1998,Nashville Predators,Created,
1999,Atlanta Thrashers,Created,
2000,Columbus Blue Jackets,Created,
2000,Minnesota Wild,Created,
2011,Winnipeg Jets,Renamed,Atlanta Thrashers
2017,Vegas Golden Knights,Created,
